,fan_in,fan_out,loc,cyclomatic_complexity,num_parameters,cluster,pca1,pca2
PipeReducer.getKeyColPropName,1,0,3,1,0,0,-0.9114011530829675,-0.15796943445350883
PipeReducer.reduce,2,25,28,6,4,2,1.912108050992138,-1.151713721836704
PipeReducer.close,348,64,4,1,0,3,-0.5727626571029553,3.2461787071532697
StreamBaseRecordReader.next,212,47,8,1,2,3,-0.15168126432749426,1.403781879895246
StreamBaseRecordReader.areValidInputDirectories,1,1,8,2,2,0,-0.17054920310562574,-0.7771884958302129
StreamBaseRecordReader.getPos,36,4,3,1,0,0,-0.8989448960139771,0.15209087863971205
StreamBaseRecordReader.close,348,64,3,1,0,3,-0.6071054417767884,3.2487903604164936
StreamBaseRecordReader.createKey,3,2,3,1,0,0,-0.8975324997966595,-0.11603871840752632
StreamBaseRecordReader.createValue,4,2,3,1,0,0,-0.8980254368774216,-0.10874198031071163
StreamBaseRecordReader.init,12,44,9,2,0,0,-0.16519068059483552,0.4954419210904441
StreamBaseRecordReader.seekNextRecordBoundary,1,11,10,1,0,0,-0.5893017594030576,-0.02589618810813486
StreamBaseRecordReader.numRecStats,3,4,10,2,3,2,0.09089943045379223,-1.0304261135311652
StreamBaseRecordReader.getStatus,14,8,19,3,1,0,0.30011341360372207,-0.3243672205306213
StreamInputFormat.areValidInputDirectories,1,1,7,2,2,0,-0.20489198777945886,-0.7745768425669889
StreamInputFormat.isGzippedInput,1,2,4,1,1,0,-0.6907366937597746,-0.43685749501104304
StreamInputFormat.getSplits,7,15,8,2,3,2,0.10194201374615527,-0.8456610354295159
StreamInputFormat.getFullFileSplits,1,5,11,2,2,0,-0.03781179418846161,-0.7303489759151788
StreamInputFormat.listPaths,27,17,17,3,2,2,0.4633321829229212,-0.4048823865566559
StreamInputFormat.getRecordReader,7,28,50,6,4,2,2.6874664195844056,-1.1316805433650299
GlobFilter.globToRegexp,0,2,9,1,1,0,-0.5185298333098467,-0.45721249942397796
GlobFilter.accept,6,14,8,2,1,0,-0.2479266073000536,-0.2593990991591808
StreamJob.go,6,11,10,1,0,0,-0.5917664448068681,0.010587502375938654
StreamJob.init,12,44,7,2,0,0,-0.23387624994250186,0.5006652276168922
StreamJob.preProcessArgs,1,0,4,1,0,0,-0.8770583684091344,-0.16058108771673293
StreamJob.postProcessArgs,1,11,28,6,0,0,1.122750707131964,-0.1359165503133379
StreamJob.parseNameEqValue,2,3,8,2,1,0,-0.327654759940083,-0.43894087073438204
StreamJob.unqualifyIfLocalPath,3,7,35,6,1,0,1.5039224179931348,-0.4978927738136464
StreamJob.getHadoopAliasConfFile,1,2,3,1,0,0,-0.8965466256351352,-0.13063219460115574
StreamJob.parseArgv,1,8,87,27,0,4,7.720999049821676,-0.5956544871842009
StreamJob.optionArg,16,1,12,5,4,2,0.9586915792249447,-1.323217693804517
StreamJob.msg,45,2,5,2,1,0,-0.4593066721582698,-0.13101479270785413
StreamJob.exitUsage,3,2,98,2,1,4,2.7552756599002235,-0.6803615462539089
StreamJob.fail,12,3,8,2,1,0,-0.3325841307477042,-0.36597348976623495
StreamJob.getHadoopClientHome,2,1,8,2,0,0,-0.5139764345894428,-0.16266446344007188
StreamJob.isLocalHadoop,3,3,9,2,0,0,-0.46527205954853934,-0.13064213875412808
StreamJob.getClusterNick,2,0,3,1,0,0,-0.9118940901637297,-0.1506726963566942
StreamJob.packageJobJar,1,16,52,8,0,0,2.4216667948859505,-0.15545737038670035
StreamJob.setUserJobConfProps,2,8,13,3,1,0,0.09997195052986861,-0.39625815811305337
StreamJob.getURIs,1,2,6,1,2,0,-0.4505839772105809,-0.7456944486841542
StreamJob.setJobConf,2,42,138,22,0,4,8.63063275531353,-0.19380838455463925
StreamJob.listJobConfProperties,1,9,15,3,0,0,0.005110573480685809,-0.09149593566347634
StreamJob.addInputSpec,1,7,20,4,2,2,0.723680732286279,-0.7517208568187101
StreamJob.setOutputSpec,1,14,48,9,0,4,2.4882175972239904,-0.18495011787959129
StreamJob.getJobTrackerHostPort,2,1,3,1,0,0,-0.9044668264398136,-0.13700407643051762
